SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,Churn,gender_Female,InternetService_DSL,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,1,1,13,1,0,1,0,0,0,0,0,1,49.95,0,0,1,0,0,0,0,0,0,1
0,0,0,16,1,0,0,0,0,0,0,0,0,18.95,0,0,0,1,0,1,0,1,0,0
0,1,0,58,1,1,0,0,1,0,1,1,0,100.35,0,0,0,0,1,0,0,1,0,0
0,0,0,49,1,1,0,1,1,0,1,1,1,103.7,1,0,0,0,0,0,1,0,0,0
0,0,0,25,1,0,1,0,1,1,1,1,1,105.5,0,0,0,0,0,0,0,0,1,0
0,1,1,69,1,1,1,1,1,1,1,1,0,113.25,0,1,0,0,0,1,0,1,0,0
0,0,0,52,1,0,0,0,0,0,0,0,0,20.65,0,1,0,1,1,0,0,0,0,1
0,0,1,71,1,1,1,0,1,0,1,1,0,106.7,0,0,0,0,0,1,1,0,0,0
0,1,1,10,1,0,0,0,1,1,0,0,0,55.2,1,1,1,0,0,0,0,1,0,0
0,0,0,21,1,0,0,1,1,0,0,1,1,90.05,0,1,0,0,0,0,0,0,1,0
1,0,0,1,0,0,0,0,1,0,0,1,1,39.65,1,0,1,0,0,0,0,0,1,0
0,1,0,12,1,0,0,0,0,0,0,0,0,19.8,0,0,0,1,1,0,1,0,0,0
